last_name,first_name,party,bundesland,wahlkreis,wahlkreis_nr,twitter,name_matching
Mackensen,Isabel,SPD,Rheinland-Pfalz,Neustadt – Speyer,208,IsabelMackensen,Isabel Mackensen
Magnitz,Frank,AfD,Bremen,Bremen II – Bremerhaven,55,Frank_Magnitz,Frank Magnitz
Magwas,Yvonne,CDU/CSU,Sachsen,Vogtlandkreis,166,YvonneMagwas,Yvonne Magwas
Maier,Jens,AfD,Sachsen,Dresden I,159,JensMaierAfD,Jens Maier
Maier,Prof. Dr. Lothar,AfD,Baden-Württemberg,Stuttgart II,259,ProfMaier,Lothar Maier
Maizière,Dr. Thomas de,CDU/CSU,Sachsen,Meißen,155,,Thomas Maiziere
Malsack-Winkemann,Dr. Birgit,AfD,Berlin,,,MalsackWinkeman,Birgit Malsack-Winkemann
Manderla,Gisela,CDU/CSU,Nordrhein-Westfalen,Köln III,95,ManderlaGisela,Gisela Manderla
Mannes,Dr. Astrid,CDU/CSU,Hessen,Darmstadt,186,,Astrid Mannes
Mansmann,Till,FDP,Hessen,Bergstraße,188,,Till Mansmann
Marks,Caren,SPD,Niedersachsen,Hannover-Land I,43,,Caren Marks
Marschall,Matern von,CDU/CSU,Baden-Württemberg,Freiburg,281,,Matern Marschall
Martens,Dr. Jürgen,FDP,Sachsen,Zwickau,165,,Jurgen Martens
Martin,Dorothee,SPD,Hamburg,Hamburg-Nord,21,Doro_Martin,Dorothee Martin
Marwitz,Hans-Georg von der,CDU/CSU,Brandenburg,Märkisch-Oderland – Barnim II,59,,Hans-Georg Marwitz
Mast,Katja,SPD,Baden-Württemberg,Pforzheim,279,KatjaMast,Katja Mast
Matschie,Christoph,SPD,Thüringen,Jena – Sömmerda – Weimarer Land I,191,matschie,Christoph Matschie
Mattfeldt,Andreas,CDU/CSU,Niedersachsen,Osterholz – Verden,34,AMattfeldt,Andreas Mattfeldt
Mattheis,Hilde,SPD,Baden-Württemberg,Ulm,291,HildeMattheis,Hilde Mattheis
Mayer (Altötting),Stephan,CDU/CSU,Bayern,Altötting,212,,Stephan Mayer
Meiser,Pascal,Die Linke,Berlin,Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost,83,pascalmeiser,Pascal Meiser
Meister,Dr. Michael,CDU/CSU,Hessen,Bergstraße,188,meister_schafft,Michael Meister
Merkel,Dr. Angela Dorothea,CDU/CSU,Mecklenburg-Vorpommern,Vorpommern-Rügen – Vorpommern-Greifswald I,15,,Angela Merkel
Metzler,Jan,CDU/CSU,Rheinland-Pfalz,Worms,206,janmetzler,Jan Metzler
Meyer,Christoph,FDP,Berlin,Berlin-Charlottenburg-Wilmersdorf,80,ChristophFDP,Christoph Meyer
Miazga,Corinna,AfD,Bayern,,,CorinnaMiazga,Corinna Miazga
Michelbach,Dr. h. c. (Univ Kyiv) Hans,CDU/CSU,Bayern,Coburg,238,,(Univ Michelbach
Middelberg,Dr. Mathias,CDU/CSU,Niedersachsen,Stadt Osnabrück,39,,Mathias Middelberg
Miersch,Dr. Matthias,SPD,Niedersachsen,Hannover-Land II,47,,Matthias Miersch
Mieruch,Mario,fraktionslos,Nordrhein-Westfalen,Steinfurt I – Borken I,124,,Mario Mieruch
Mihalic,Dr. Irene,Bündnis 90/Die Grünen,Nordrhein-Westfalen,Gelsenkirchen,123,IreneMihalic,Irene Mihalic
Mindrup,Klaus,SPD,Berlin,Berlin-Pankow,76,klausmindrup,Klaus Mindrup
Mittag,Susanne,SPD,Niedersachsen,Delmenhorst – Wesermarsch – Oldenburg-Land,28,,Susanne Mittag
Möhring,Cornelia,Die Linke,Schleswig-Holstein,Pinneberg,7,conni_moehring,Cornelia Mohring
Möller,Siemtje,SPD,Niedersachsen,Friesland – Wilhelmshaven – Wittmund,26,SiemtjeMoeller,Siemtje Moller
Möring,Karsten,CDU/CSU,Nordrhein-Westfalen,Köln I,93,karstenmoering,Karsten Moring
Mohamed Ali,Amira,Die Linke,Niedersachsen,Oldenburg – Ammerland,27,,Amira Mohamed
Mohrs,Falko,SPD,Niedersachsen,Helmstedt – Wolfsburg,51,falkomohrs,Falko Mohrs
Moll,Claudia,SPD,Nordrhein-Westfalen,Aachen II,88,ClaudiaMollMdB,Claudia Moll
Monstadt,Dietrich,CDU/CSU,Mecklenburg-Vorpommern,Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I,12,MdBMonstadt,Dietrich Monstadt
Mortler,Marlene,CDU/CSU  *,Bayern,Roth,246,,Marlene Mortler
Motschmann,Elisabeth,CDU/CSU,Bremen,Bremen I,54,ElisabethMotsc1,Elisabeth Motschmann
Movassat,Niema,Die Linke,Nordrhein-Westfalen,Oberhausen – Wesel III,117,niemamovassat,Niema Movassat
Mrosek,Andreas,AfD,Sachsen-Anhalt,Dessau – Wittenberg,70,mrosek1958,Andreas Mrosek
Müller,Alexander,FDP,Hessen,Rheingau-Taunus – Limburg,178,alexmuellerfdp,Alexander Muller
Müller,Axel,CDU/CSU,Baden-Württemberg,Ravensburg,294,,Axel Muller
Müller,Bettina,SPD,Hessen,Main-Kinzig – Wetterau II – Schotten,175,BetMueller,Bettina Muller
Müller (Braunschweig),Carsten,CDU/CSU,Niedersachsen,Braunschweig,50,,Carsten Muller
Müller,Claudia,Bündnis 90/Die Grünen,Mecklenburg-Vorpommern,Vorpommern-Rügen – Vorpommern-Greifswald I,15,GruenClaudia,Claudia Muller
Müller (Chemnitz),Detlef,SPD,Sachsen,Chemnitz,162,muellerchemnitz,Detlef Muller
Müller,Dr. Gerd,CDU/CSU,Bayern,Oberallgäu,256,,Gerd Muller
Müller,Hansjörg,AfD,Bayern,Traunstein,225,MdB_Mueller_AfD,Hansjorg Muller
Müller (Potsdam),Norbert,Die Linke,Brandenburg,Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II,61,norbert_mdb,Norbert Muller
Müller,Sepp,CDU/CSU,Sachsen-Anhalt,Dessau – Wittenberg,70,mueller_sepp,Sepp Muller
Müller (Erlangen),Stefan,CDU/CSU,Bayern,Erlangen,242,smuellermdb,Stefan Muller
Müller-Böhm,Roman,FDP,Nordrhein-Westfalen,Oberhausen – Wesel III,117,,Roman Muller-Bohm
Müller-Gemmeke,Beate,Bündnis 90/Die Grünen,Baden-Württemberg,Reutlingen,289,GrueneBeate,Beate Muller-Gemmeke
Müller-Rosentritt,Frank,FDP,Sachsen,Chemnitz,162,theliberalfrank,Frank Muller-Rosentritt
Müntefering,Michelle,SPD,Nordrhein-Westfalen,Herne – Bochum II,141,Mi_Muentefering,Michelle Muntefering
Münz,Volker,AfD,Baden-Württemberg,Göppingen,263,,Volker Munz
Münzenmaier,Sebastian,AfD,Rheinland-Pfalz,Mainz,205,s_muenzenmaier,Sebastian Munzenmaier
Mützenich,Dr. Rolf,SPD,Nordrhein-Westfalen,Köln III,95,,Rolf Mutzenich
Nahles,Andrea,SPD  *,Rheinland-Pfalz,Ahrweiler,198,,Andrea Nahles
Nastic,Zaklin,Die Linke,Hamburg,Hamburg-Eimsbüttel,20,zaklinnastic,Zaklin Nastic
Nestle,Dr. Ingrid,Bündnis 90/Die Grünen,Schleswig-Holstein,Steinburg – Dithmarschen Süd,3,,Ingrid Nestle
Neu,Dr. Alexander S.,Die Linke,Nordrhein-Westfalen,Rhein-Sieg-Kreis I,97,alexandersneu,Alexander Neu
Neumann,Christoph,AfD,Sachsen,Leipzig I,152,Neumann_AfD,Christoph Neumann
Neumann,Prof. Dr. Martin,FDP,Brandenburg,Elbe-Elster – Oberspreewald-Lausitz II,65,,Martin Neumann
Nick,Dr. Andreas,CDU/CSU,Rheinland-Pfalz,Montabaur,204,DrAndreasNick,Andreas Nick
Nicolaisen,Petra,CDU/CSU,Schleswig-Holstein,Flensburg – Schleswig,1,,Petra Nicolaisen
Nietan,Dietmar,SPD,Nordrhein-Westfalen,Düren,90,,Dietmar Nietan
Nissen,Ulli,SPD,Hessen,Frankfurt am Main II,183,UlliNissen,Ulli Nissen
Nölke,Matthias,FDP,Hessen,Kassel,168,matthiasnoelke,Matthias Nolke
Noll,Michaela,CDU/CSU,Nordrhein-Westfalen,Mettmann I,104,,Michaela Noll
Nolte,Jan Ralf,AfD,Hessen,Waldeck,167,Jan_Nolte_AfD,Jan Nolte
Nord,Thomas,Die Linke,Brandenburg,Frankfurt (Oder) – Oder-Spree,63,NordMdb,Thomas Nord
Notz,Dr. Konstantin von,Bündnis 90/Die Grünen,Schleswig-Holstein,Herzogtum Lauenburg – Stormarn-Süd,10,KonstantinNotz,Konstantin Notz
Nouripour,Omid,Bündnis 90/Die Grünen,Hessen,Frankfurt am Main II,183,nouripour,Omid Nouripour
Nüßlein,Dr. Georg,CDU/CSU,Bayern,Neu-Ulm,255,,Georg Nusslein
Oehme,Ulrich,AfD,Sachsen,Chemnitzer Umland – Erzgebirgskreis II,163,Ulrich_Oehme,Ulrich Oehme
Oellers,Wilfried,CDU/CSU,Nordrhein-Westfalen,Heinsberg,89,WilfriedOellers,Wilfried Oellers
